Name,Column,Description,Labels,Assignees,Due Date,Milestone
engagement discuss,Finished,,Online DGM312G,,,
cognitive worksheet,Finished,,Online DGM312G,,,
Weekly milestone (1),Finished,"https://app.gitkraken.com/glo/board/Ydx0NDgB7gBH-w5z
https://github.com/KadenCampbell1
",Anthony Project DGM3680,,,
texture assets for environment,Finished,"- [x] broken cube tower
- [x] council
- [x] moving box of boxes
- [x] standard box
- [x] standard ball
- [x] bowing box
- [x] floor grid",Anthony Project DGM3680,,,
make assets for environment,Finished,"- [x] floor grid
- [x] standard box
- [x] standard ball
- [x] bowing box
- [x] council
- [x] broken cube tower
- [x] moving box of boxes",Anthony Project DGM3680,,,
pick 4 locations and an aesthetic,Finished,,Marty Senior DGM3571,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
next anim do simple cube geometry design like Tekken level for environment to have time for cloth and character,Finished,,Anthony Project DGM3680,,,
set up foot roll,Finished,,Clayton Rigging DGM3660,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
IK foot,Finished,,Clayton Rigging DGM3660,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
discuss web analysis,Finished,,Online DGM312G,,,
discuss mainstream tech,Finished,,Online DGM312G,,,
Weekly milestone (1),Finished,,Anthony Project DGM3680,,,
execute on research doc,Finished,,Marty Senior DGM3571,,,
Wanikani,Finished,,,,,
Rigging,Finished,"is A pose better/worse

reverse IK foot constraints to what

schedule a time to watch clayton do the whole thing

",Clayton Rigging DGM3660,,,
layout environment,Finished,,Anthony Project DGM3680,,,
concept environment,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Talk with Kevin how to structure pitch,Finished,,,,,
Do IK Rig,Finished,,Clayton Rigging DGM3660,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
wolverine completion grant,Finished,,,,,
Ask clayton about replacement script,Finished,,,,,
Email trideum,Finished,,Marty Senior DGM3571,,,
Wanikani,Finished,,,,,
If we make a digital asset is it ours to use freely,Finished,,,,,
begin next anim,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
project 2,Finished,,CS Mobile CS3680,,,
research documents,Finished,,Marty Senior DGM3571,,,
low and high assessment,Finished,,Online DGM312G,,,
discuss first impressions,Finished,,Online DGM312G,,,
discuss top ten websites,Finished,,Online DGM312G,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
submit video,Finished,"https://youtu.be/D3WMCQBM_LQ
",Anthony Project DGM3680,,,
Wanikani,Finished,,,,,
music credit,Finished,"Music from Uppbeat (free for Creators!):
https://uppbeat.io/t/alex-besss/threatened
License code: SNRJHZNHTY280JQQ",,,,
cut to following ranger and large space city match rotation,Finished,,"Anthony Project DGM3680,Anthony Project DGM3680",,,
match camera on ranger and pan around space city,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
transfer notes,Finished,,Marty Senior DGM3571,,,
create broken FK,Finished,,Clayton Rigging DGM3660,,,
finish video @ 59min,Finished,,Clayton Rigging DGM3660,,,
have camera follow ranger for initial part on city fly over,Finished,,Anthony Project DGM3680,,,
remove one particle system in second group,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
animate ranger flying over city to light speed,Finished,,Anthony Project DGM3680,,,
on train back kotlin practice,Finished,,CS Mobile CS3680,,,
On train there throw in unity,Finished,,Anthony Project DGM3680,,,
On train there make ship city on grid,Finished,,Anthony Project DGM3680,,,
fix model,Finished,,Anthony Project DGM3680,,,
UV map and texture ship,Finished,,Anthony Project DGM3680,,,
meeting,Finished,,Marty Senior DGM3571,,,
ice breaker,Finished,,Marty Senior DGM3571,,,
type up notes from meeting,Finished,,Marty Senior DGM3571,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
and how we will achieve the questions,Finished,,Marty Senior DGM3571,,,
add how we know the question is answered,Finished,,Marty Senior DGM3571,,,
Week 1,Weekly Breakdown,"
![CobbledConcept.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f3a0ff58edcd004673f7dc)

![CobbledFrontConcept.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f3a1021d76f00048faa169)

![EnergyBall.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f3a1061d76f00048faa16a)

![EnergyBallColored.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f3a1091d76f00048faa16b)

![Screenshot 2022-01-28 005413.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f3a13d58edcd004673f7e8)
",,,,
Week 2,Weekly Breakdown,"
![Building.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f3a16e1d76f00048faa17b)
![Building_Nodes.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f3a16e58edcd004673f7ed)
",,,,
Week 3,Weekly Breakdown,"
![Screenshot 2022-01-30 204650.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f76fbf58edcd00467485fb)
![Screenshot 2022-01-30 204812.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/61f76fbf1d76f00048fb2feb)
",,,,
Week 4,Weekly Breakdown,https://www.youtube.com/watch?v=D3WMCQBM_LQ,,,,
Week 5,Weekly Breakdown,"
![IMG_0083.PNG](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/620a0af706e1f60048342941)
![GeoMoodBoard.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/620a0af758edcd004677921e)

![Screenshot 2022-02-14 005701.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/620a0c2658edcd004677925d)
![Screenshot 2022-02-14 005747.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/620a0c2606e1f60048342965)
![Screenshot 2022-02-14 005803.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/620a0c2658edcd004677925b)
![Screenshot 2022-02-14 005831.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/620a0c2606e1f60048342963)
![Screenshot 2022-02-14 005933.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/620a0c2658edcd004677925c)
![Screenshot 2022-02-14 010001.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/620a0c2606e1f60048342964)
",,,,
Week 6,Weekly Breakdown,"
![Screenshot 2022-02-22 185825.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6215960a06e1f6004835d2cd)
![Screenshot 2022-02-22 185921.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6215960a58edcd0046793b51)
![Screenshot 2022-02-22 185952.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6215960a06e1f6004835d2d0)
![Screenshot 2022-02-22 190042.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6215960a58edcd0046793b50)
![Screenshot 2022-02-22 190107.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6215960a06e1f6004835d2ce)
![Screenshot 2022-02-22 190132.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6215960a58edcd0046793b4f)
![Screenshot 2022-02-22 190205.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6215960a58edcd0046793b52)
![Screenshot 2022-02-22 190233.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6215960a06e1f6004835d2cf)
",,,,
Week 7,Weekly Breakdown,"
![Screenshot 2022-02-23 125342.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6219988ab7021300897b056b)
",,,,
Week 8,Weekly Breakdown,https://youtu.be/FLVmY4UjG8E,,,,
Week 9,Weekly Breakdown,"
![Screenshot 2022-03-18 010930.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/62343045917b600046de9d1a)
",,,,
Week 10,Weekly Breakdown,"
![Chocolate.jpg](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/623558dcb9104f00ab7a8f09)
",,,,
week 11 GDC,Weekly Breakdown,,,,,
Week 12,Weekly Breakdown,https://youtu.be/NjAM9_BAih0,,,,
Week 13,Weekly Breakdown,"
![Screenshot 2022-04-06 230320.png](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/6257c6d7f838700020a08599)
",,,,
Week 14 (4/10-4/16),Weekly Breakdown,"
![frame 1.jpg](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/625a0b9b0dd39d001efdb34c)
![weeping.jpg](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/625a0b9bf838700020a0b9d5)
",,,,
Week 15 (4/17 - 4/23),Weekly Breakdown,"
![frame 1.jpg](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/62634db9f838700020a17413)
![weeping.jpg](https://app.gitkraken.com/api/glo/boards/61dc74343801ee0047ff0e73/attachments/62634db90dd39d001efe6d1c)
",,,,
Week 16,Weekly Breakdown,https://youtu.be/rQTtSviboEE,,,,
Thursday,To Do,- [ ] Wanikani,,,,
Salt lake animation X @ slopes event center,To Do,https://www.slanimationexpo.com/home,,,,
Update portfolio,In Progress,change grouping to be environment and hard surface or something like that. Change it to be product types not software,,,,
Rig Hulk,Finished,,Clayton Rigging DGM3660,,,
Tuesday,Finished,"- [x] Rig final
- [x] Rebelway",,,,
service project,Finished,"- [x] Website
- [x] Written Paper",Online DGM312G,,,
Sunday,Finished,- [x] 312g final,,,,
reply to CS Presentation,Finished,,CS Mobile CS3680,,,
Weeping statue,Finished,Make infinite mirror with ground of water,Anthony Project DGM3680,,,
Weekly milestone,Finished,"https://app.gitkraken.com/glo/board/Ydx0NDgB7gBH-w5z
https://github.com/KadenCampbell1
",Anthony Project DGM3680,,,
render statue,Finished,,Anthony Project DGM3680,,,
Friday,Finished,- [x] Weeping statue,,,,
Saturday,Finished,- [x] Marty final,,,,
jira bench marking,Finished,"I've played pokemon go and couple star wars ones that were on Samsung Galaxy'sa while ago. think seeing AR menus at restaurants, board games, and concerts might be cool
think I've seen that Apple now can do interior design using AR too, which would be cool to be more mainstream.

The only ones I have gotten a hold of are Pokémon go and Pikmin bloom! I also made an AR game for Anthony’s class last semester",Marty Senior DGM3571,,,
update docs with pictures of UX,Finished,,Marty Senior DGM3571,,,
Concept UX for celestial,Finished,,Marty Senior DGM3571,,,
huntsville animation,Finished,,Marty Senior DGM3571,,,
render huntsville anim,Finished,,Marty Senior DGM3571,,,
presentation,Finished,,CS Mobile CS3680,,,
submit weekly discussion,Finished,,Anthony Project DGM3680,,,
Today,Finished,"- [x] CS presentation
- [x] Weekly discussion
- [x] Record sign anim",,,,
do daily sketch,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
timeline with post it notes,Finished,,Marty Senior DGM3571,,,
Add user thoughts to both docs,Finished,"- [x] sign
- [x] celestial",Marty Senior DGM3571,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Fix viscosity,Finished,,Anthony Project DGM3680,,,
laws and standards quiz,Finished,,Online DGM312G,,,
discuss lawsuits,Finished,,Online DGM312G,,,
discuss lipstick,Finished,,Online DGM312G,,,
Weekly milestone (1),Finished,"https://app.gitkraken.com/glo/board/Ydx0NDgB7gBH-w5z
https://github.com/KadenCampbell1
",Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
project 7,Finished,- [x] Clean code,CS Mobile CS3680,,,
project 7 documentation,Finished,,CS Mobile CS3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
make water sim,Finished,,Anthony Project DGM3680,,,
weekly discussion,Finished,,Anthony Project DGM3680,,,
Rocket Ariane 5,Finished,,Marty Senior DGM3571,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Weekly milestone (1),Finished,"https://app.gitkraken.com/glo/board/Ydx0NDgB7gBH-w5z
https://github.com/KadenCampbell1
",Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
stop staring ch 1 & 2,Finished,,Clayton Rigging DGM3660,,,
Make mirrors,Finished,,Anthony Project DGM3680,,,
Game doc for celestial,Finished,,Marty Senior DGM3571,,,
Game doc for huntsville,Finished,,Marty Senior DGM3571,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
wanikani,Finished,,,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
redo fasfa before June 30th,Finished,,,,,
wed start implementing repo,Finished,,Marty Senior DGM3571,,,
have files outside repo for now,Finished,,Marty Senior DGM3571,,,
Sign kevin agreement,Finished,,Marty Senior DGM3571,,,
skin rig by tuesday night,Finished,,Clayton Rigging DGM3660,,,
text file tonight,Finished,,Marty Senior DGM3571,,,
figure out vfx anim,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
nonverbal quiz,Finished,,Online DGM312G,,,
discuss nonverbal differences,Finished,,Online DGM312G,,,
mismatch case study,Finished,,Online DGM312G,,,
figure out grant for GDC,Finished,,,,,
Weekly milestone (1),Finished,"https://app.gitkraken.com/glo/board/Ydx0NDgB7gBH-w5z
https://github.com/KadenCampbell1
",Anthony Project DGM3680,,,
Project 6,Finished,,CS Mobile CS3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Marty,Finished,"- [x] Finish grid explanation 
- [x] do style guide fence posts for both
- [x] say what we are comfortable with",,,,
download stuff at school,Finished,"https://rigitright.gumroad.com/l/rigitright

get CD from stop staring",,,,
do daily sketch  (2),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
work on tutorial,Finished,,Anthony Project DGM3680,,,
schedule meeting with CS advisor,Finished,https://uvu.edu/cet/advising/departments/cs.html,,,,
find model,Finished,,"Clayton Rigging DGM3660,Anthony Project DGM3680",,,
do description by friday,Finished,,Marty Senior DGM3571,,,
create grid for sheet description,Finished,,Marty Senior DGM3571,,,
Make a list of rockets,Finished,,Marty Senior DGM3571,,,
submit weekly discussion,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
ask about discounts on housing for working at UVU,Finished,,,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Turn in rig,Finished,,Clayton Rigging DGM3660,,,
Transfer future plan notes to evernote,Finished,,,,,
submit videos for digital media showcase,Finished,,,,,
Project 5,Finished,,CS Mobile CS3680,,,
Change wording on cavern door,Finished,,,,,
Website strategy,Finished,,Online DGM312G,,,
Discuss ad,Finished,,Online DGM312G,,,
GDC,Finished,"$600 from grant with presentation on three things from the conference.

Ask ""Is there a medium I could reach out to you on?""

As for questions, that's always a challenging topic as everyone conversation will be so different. You might try to focus more on who you're talking to and what specific insights they may provide rather than a generic set of questions. People always enjoy talking more about themselves anyway. You might ask about their path into industry, recommendations for research/learning, artists they follow, company culture, what the hiring process is like and how it's changed post-pandemic (or wherever we are with that), etc. And don't forget to ask to add them to your network, try to push your name a little as well, and follow-up after the conference to show you're serious about it.

look for the mentors guild. Ask what makes a strong art portfolio. remove the 2D art and game design stuff. can you give me some feedback to make my portfolio like you. what can I do to be more prepared for the industry or next time. build a business card. Go and soke up as much as you can.",,,,
Dimensions quiz,Finished,,Online DGM312G,,,
Discuss mismatch,Finished,,Online DGM312G,,,
Discuss power,Finished,,"Online DGM312G,Online DGM312G",,,
talk to kevin and marty what questions I might want to ask about my portfolio at GDC,Finished,,Marty Senior DGM3571,,,
Weekly submission,Finished,,Anthony Project DGM3680,,,
add limb twist systems in arms and legs,Finished,,Clayton Rigging DGM3660,,,
talk to kevin about portfolio,Finished,,Marty Senior DGM3571,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
project 4,Finished,,CS Mobile CS3680,,,
Discussion,Finished,,Anthony Project DGM3680,,,
design layout and mochup for documents,Finished,,Marty Senior DGM3571,,,
research document,Finished,,Marty Senior DGM3571,,,
Create bottle for anim,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Anim and Game 2 (Anthony),Class Rotation,,Anthony Project DGM3680,,,
Advanced Rigging (Clayton),Class Rotation,,Clayton Rigging DGM3660,,,
Anim story development (Marty),Class Rotation,,Marty Senior DGM3571,,,
Mobile programming,Class Rotation,,CS Mobile CS3680,,,
DGM 312G (Online),Class Rotation,,Online DGM312G,,,
Houdini,Backlog,"https://www.motionoperators.com/
https://theoryaccelerated.com/
https://www.artstation.com/marketplace/p/jeyM/acescg-lookdev-scene-autoscale-redshift-houdini-hda-procedural-settings",,,,
Rig Kazuma,Backlog,,Clayton Rigging DGM3660,,,
Rig blacksmith,Backlog,,Clayton Rigging DGM3660,,,
Rig,Backlog,"Ik spline
Ik spring solver
Blend shapes
Wire deformer
Stop staring book
Wrap deformer
Stretchy ik limbs
The art of rigging

ngSkinTools
HippyDrome.com

turbosquid
cgcookie
sketchfab
artstation
cgareana
cgtrader
animation mentor",,,,
internship,Backlog,https://www.sidefx.com/company/internships/,,,,
woodbury business center for pic inquery,Backlog,,,,,
onestop by the finance something,Backlog,,,,,
send messages to networked people,Backlog,,,,,
look for suplimentary classes,Backlog,"CG master academy
plural site
stop staring for facial rigging
",,,,
Anim Ideas,Backlog,"https://www.turbosquid.com/3d-models/screaming-dragon-head-100-150-and-200-mm-in-height-3d-1849058
dragons breath

https://www.turbosquid.com/3d-models/alien-bust-sculpture-3d-model/695955
Alien plague infection

https://threedscans.com/lincoln/loewental/
Weeping statue

All of the animations could be in a cube or a cube cutout

down select:
beach scene getting shot by ""old plane"" that crashes and explodes
control game effect 
weather in a bottle
arrival scene
a titanfall
water character like in moana
magic spells



council on a flat surface on raging water in a storm
exploding sky
green house with procedural plants and mist
breaking through ice
scene recreation
building destruction
fight scene
district 9 scene
Dune scene
Japanese gate in water

",Anthony Project DGM3680,,,
music for anims,Backlog,"https://uppbeat.io/browse/music/dramatic


Music from Uppbeat (free for Creators!):
https://uppbeat.io/t/jonny-boyle/tres-french
License code: 1PROXRHUEP9USMKO",Anthony Project DGM3680,,,
Create script to replace placeholder controls (week 3b @ 20min) script used at 25min,Backlog,,Clayton Rigging DGM3660,,,
scrum,Backlog,"what did you do yesterday for the sprint?
what will you do today for the sprint?
what obsticles are present to keep you from meeting the sprint? ",,,,
miro boards,Backlog,https://miro.com/index/?utm_source=public_board,,,,
